emprestimo_id;cliente_id;valor_emprestado;valor_parcela;num_parcelas;taxa_juros;data_concessao;status
245;7697;9419.18;201.61;48;2.74;2021-06-24;QUITADO
246;2609;17377.32;2964.57;6;2.36;2023-04-25;ATIVO
247;2186;1448.62;84.12;18;4.53;2023-12-24;ATIVO
248;3644;18121.28;1034.93;18;2.8;2022-10-17;QUITADO
249;3345;6980.41;152.22;48;4.67;2024-07-17;ATIVO
250;2214;5214.9;111.66;48;2.78;2022-08-08;QUITADO
251;6667;2114.31;357.88;6;1.56;2024-06-15;QUITADO
252;9208;7288.22;319.25;24;5.13;2024-03-01;QUITADO
253;4347;13156.93;755.28;18;3.33;2023-05-17;ATIVO
254;1529;2811.94;503.9;6;7.52;2023-01-30;QUITADO
255;3231;5578.01;326.9;18;5.49;2023-02-01;ATIVO
256;6302;6826.29;596.05;12;4.78;2022-05-30;ATIVO
257;5161;3022.08;172.02;18;2.46;2023-08-04;QUITADO
258;8824;3100.64;88.17;36;2.37;2021-05-02;ATIVO
259;5785;16147.92;462.19;36;3.04;2021-09-09;ATIVO
260;8889;1506.26;31.88;48;1.58;2023-04-25;QUITADO
261;7177;2907.17;124.29;24;2.61;2022-07-20;ATIVO
262;1806;2709.63;232.64;12;3.03;2023-05-18;ATIVO
263;2603;29496.77;828.86;36;1.16;2021-07-19;ATIVO
264;6272;5526.46;246.76;24;7.16;2021-08-08;ATIVO
265;4837;728.62;15.81;48;4.17;2021-08-10;ATIVO
266;9200;5782.28;259.91;24;7.88;2021-06-22;ATIVO
267;6149;818.38;35.59;24;4.38;2021-07-28;ATIVO
268;4334;3964.6;345.61;12;4.61;2022-11-12;QUITADO
269;4183;1908.17;107.77;18;1.66;2023-01-10;ATIVO
270;7374;19123.86;824.24;24;3.44;2022-09-07;ATIVO
271;33;8611.73;1462.56;6;1.9;2024-12-12;ATIVO
272;6031;630.72;27.43;24;4.38;2022-01-08;ATIVO
273;5900;43673.2;919.32;48;1.04;2022-12-29;QUITADO
274;9991;14364.75;408.56;36;2.39;2022-06-04;ATIVO
275;7386;2034.21;59.74;36;5.73;2021-01-12;QUITADO
276;9788;7998.19;699.84;12;5.0;2024-05-28;INADIMPLENTE
277;7617;6669.39;292.65;24;5.31;2022-06-05;QUITADO
278;2913;7172.27;320.57;24;7.27;2021-11-01;QUITADO
279;730;31331.62;877.81;36;0.86;2022-05-08;ATIVO
280;7483;14290.07;614.23;24;3.16;2021-02-08;ATIVO
281;5514;19616.63;830.11;24;1.56;2023-04-30;ATIVO
282;6107;2829.51;165.71;18;5.42;2024-07-07;QUITADO
283;802;6163.22;1090.38;6;6.15;2021-04-14;ATIVO
284;435;10227.42;436.33;24;2.39;2021-09-12;QUITADO
285;4131;780.13;17.49;48;7.61;2024-09-03;INADIMPLENTE
286;8269;2269.64;66.0;36;4.68;2021-05-20;QUITADO
287;6858;4721.91;105.45;48;7.19;2024-12-19;ATIVO
288;4562;6121.57;1048.42;6;2.76;2022-10-08;QUITADO
289;205;19952.22;3391.88;6;2.0;2022-10-11;ATIVO
290;6613;1803.64;51.64;36;3.07;2024-05-31;QUITADO
291;897;16348.81;930.97;18;2.5;2024-08-17;QUITADO
292;3598;16612.52;714.06;24;3.16;2024-05-26;ATIVO
293;8895;4196.18;370.24;12;5.88;2024-08-20;QUITADO
294;5284;25846.15;1086.08;24;0.85;2024-11-04;QUITADO
295;9796;8876.95;250.87;36;1.74;2024-02-14;QUITADO
296;1666;2939.05;126.13;24;3.0;2021-07-23;QUITADO
297;7957;4137.17;718.28;6;4.17;2023-09-21;QUITADO
298;6446;6057.31;517.19;12;2.46;2021-12-23;ATIVO
299;2381;3776.7;336.54;12;6.93;2024-11-11;INADIMPLENTE
300;8477;13724.9;394.32;36;3.43;2022-08-16;QUITADO
301;2354;46038.63;1294.32;36;1.21;2023-07-03;ATIVO
302;1588;1002.47;59.66;18;7.13;2021-12-05;ATIVO
303;2959;17114.31;368.21;48;3.27;2021-10-13;ATIVO
304;1987;9878.1;278.64;36;1.55;2023-08-02;INADIMPLENTE
305;9598;4554.13;406.8;12;7.19;2021-08-05;INADIMPLENTE
306;9374;2043.53;173.16;12;1.68;2024-09-15;QUITADO
307;6489;1521.16;32.59;48;2.83;2024-07-09;ATIVO
308;2989;43232.87;1212.68;36;0.98;2021-06-21;ATIVO
309;2620;14002.58;396.62;36;1.97;2024-03-16;INADIMPLENTE
310;2066;4283.43;125.9;36;5.81;2023-07-08;ATIVO
311;7159;18051.49;3107.86;6;3.3;2023-06-30;ATIVO
312;5543;37893.05;1068.06;36;1.47;2023-10-29;QUITADO
313;7763;7734.37;171.32;48;6.32;2023-11-07;QUITADO
314;2380;6652.61;1149.13;6;3.64;2024-01-25;INADIMPLENTE
315;936;7206.23;431.09;18;7.68;2024-01-01;INADIMPLENTE
316;9099;15398.82;653.04;24;1.78;2022-12-31;ATIVO
317;215;15011.47;1282.73;12;2.54;2024-03-15;ATIVO
318;7930;48763.36;2749.44;18;1.49;2023-06-16;QUITADO
319;772;29259.49;4947.29;6;1.45;2021-02-22;QUITADO
320;6936;851.17;37.12;24;4.67;2022-10-18;QUITADO
321;9765;1202.73;105.87;12;5.63;2022-01-22;QUITADO
322;5507;2617.43;74.35;36;2.26;2023-04-06;QUITADO
323;9991;13311.09;2255.79;6;1.68;2021-11-20;QUITADO
324;1145;4247.63;124.83;36;5.8;2022-07-08;QUITADO
325;6250;4999.26;223.01;24;7.06;2024-02-21;QUITADO
326;3776;3858.3;83.04;48;3.31;2023-03-15;QUITADO
327;4345;49957.17;2106.74;24;1.21;2024-09-23;QUITADO
328;8885;2503.51;73.96;36;6.36;2022-12-28;QUITADO
329;9704;3240.37;550.65;6;1.96;2024-04-04;ATIVO
330;793;7737.59;1319.9;6;2.35;2023-10-10;QUITADO
331;8534;13204.21;1136.66;12;3.3;2023-09-26;ATIVO
332;875;17981.49;382.37;48;2.07;2024-02-07;ATIVO
333;3348;7332.83;313.54;24;2.62;2022-12-27;ATIVO
334;7843;46895.46;1313.98;36;0.87;2024-09-10;ATIVO
335;8981;22917.12;1289.34;18;1.27;2024-08-03;ATIVO
336;6796;5035.6;217.58;24;3.7;2024-12-08;ATIVO
337;7597;16866.65;722.31;24;2.78;2023-02-25;QUITADO
338;8508;14686.74;418.53;36;2.59;2023-05-30;ATIVO
339;676;3897.95;224.39;18;3.62;2021-11-07;ATIVO
340;6944;1220.69;34.46;36;1.63;2022-11-24;ATIVO
341;5993;3704.45;209.3;18;1.7;2024-04-02;ATIVO
342;6248;16684.88;716.2;24;3.02;2022-07-18;QUITADO
343;697;10627.6;298.69;36;1.18;2024-03-21;ATIVO
344;8569;15794.64;907.49;18;3.42;2023-12-31;ATIVO
345;3459;5725.16;502.38;12;5.3;2024-06-11;QUITADO
346;8932;3769.31;217.11;18;3.68;2023-03-21;ATIVO
347;8386;7929.46;232.73;36;5.66;2023-07-01;ATIVO
348;4656;8066.74;1360.86;6;1.22;2024-06-30;QUITADO
349;6544;9013.18;1522.93;6;1.38;2022-03-16;ATIVO
350;8053;10082.58;213.2;48;1.5;2022-05-24;ATIVO
351;7367;15354.33;435.98;36;2.22;2024-08-03;INADIMPLENTE
352;3739;7989.34;713.51;12;7.17;2023-04-15;INADIMPLENTE
353;8966;2100.08;45.5;48;3.99;2023-04-15;ATIVO
354;4041;3062.97;274.44;12;7.52;2021-03-31;QUITADO
355;9235;7103.13;203.9;36;3.34;2021-07-13;QUITADO
356;3936;40089.15;844.21;48;1.08;2021-02-14;ATIVO
357;145;7846.01;450.36;18;3.32;2022-09-11;QUITADO
358;6010;5981.47;170.29;36;2.49;2021-07-19;QUITADO
359;3056;13355.43;1139.22;12;2.36;2024-11-28;ATIVO
360;3904;1536.84;43.58;36;2.08;2023-05-03;QUITADO
361;8615;973.85;21.37;48;5.31;2023-09-19;INADIMPLENTE
362;2527;18695.8;3218.48;6;3.29;2023-11-23;ATIVO
363;7592;2440.19;70.54;36;4.07;2024-03-19;QUITADO
364;7106;12979.25;371.39;36;3.01;2024-01-14;QUITADO
365;2389;14860.23;640.29;24;3.41;2023-08-04;QUITADO
366;6468;11545.71;650.28;18;1.38;2021-06-13;QUITADO
367;8951;3602.75;633.42;6;5.49;2022-04-09;ATIVO
368;237;5169.11;231.06;24;7.28;2024-07-07;QUITADO
369;9266;6035.5;257.14;24;2.25;2024-06-16;QUITADO
370;1054;5130.55;455.25;12;6.48;2024-12-02;QUITADO
371;5184;3468.71;103.96;36;7.89;2024-01-31;ATIVO
372;216;7477.32;328.63;24;5.48;2024-03-07;ATIVO
373;5127;17957.94;3056.44;6;2.12;2022-11-02;QUITADO
374;4271;2459.14;143.49;18;5.03;2024-09-13;ATIVO
375;4695;3358.22;284.33;12;1.6;2024-05-11;ATIVO
376;839;7636.46;161.13;48;1.28;2023-09-06;ATIVO
377;8722;5681.53;244.99;24;3.49;2024-11-23;QUITADO
378;1073;1350.41;58.35;24;3.7;2021-06-10;ATIVO
379;1286;14835.76;1265.24;12;2.34;2024-05-05;QUITADO
380;3731;6284.69;277.36;24;5.92;2022-03-01;INADIMPLENTE
381;6788;5722.5;122.01;48;2.34;2024-08-19;QUITADO
382;4434;10778.69;609.3;18;1.75;2022-11-03;QUITADO
383;8415;7511.51;316.3;24;1.06;2021-01-16;ATIVO
384;7330;12288.23;260.1;48;1.6;2024-03-18;ATIVO
385;5269;11114.9;311.87;36;1.01;2024-04-03;QUITADO
386;3102;7113.12;299.28;24;0.98;2023-02-08;ATIVO
387;2828;2554.79;56.72;48;6.57;2024-02-15;INADIMPLENTE
388;2390;3735.05;165.37;24;6.26;2021-04-13;ATIVO
389;8233;3768.53;329.65;12;4.97;2021-01-30;QUITADO
390;468;18696.47;1071.31;18;3.14;2023-05-18;ATIVO
391;1504;10310.56;443.48;24;3.23;2022-11-28;QUITADO
392;8475;718.88;31.73;24;5.92;2022-09-24;QUITADO
393;5484;19330.4;1659.84;12;3.04;2023-11-04;QUITADO
394;5591;716.69;63.98;12;7.12;2022-05-12;ATIVO
395;6675;3271.47;146.34;24;7.36;2023-02-20;INADIMPLENTE
396;6707;17231.48;1480.04;12;3.07;2023-05-08;QUITADO
397;3957;2668.93;467.11;6;5.01;2023-03-24;ATIVO
398;8437;5027.38;297.03;18;6.35;2022-04-14;ATIVO
399;1193;1173.97;25.28;48;3.35;2023-05-22;ATIVO
400;9880;13403.21;1127.1;12;0.91;2021-11-08;ATIVO
401;1071;19302.3;821.07;24;2.09;2023-05-27;ATIVO
402;3892;10088.93;217.4;48;3.43;2023-08-29;QUITADO
403;2479;1507.52;87.85;18;4.9;2024-06-09;QUITADO
404;752;708.12;122.5;6;3.8;2021-12-29;INADIMPLENTE
405;7825;7876.2;1375.18;6;4.76;2023-02-02;ATIVO
406;4687;6888.4;411.77;18;7.6;2023-12-29;ATIVO
407;5751;13148.94;2259.21;6;3.09;2021-01-13;QUITADO
408;7819;49074.3;8287.83;6;1.33;2021-08-10;ATIVO
409;9741;4372.03;192.44;24;5.64;2023-09-13;QUITADO
410;4203;49623.66;4189.06;12;1.3;2022-02-06;QUITADO
411;3488;12780.01;360.01;36;1.41;2023-01-04;QUITADO
412;9974;6391.95;1123.92;6;5.5;2022-07-14;QUITADO
413;8229;19890.1;848.56;24;2.39;2022-06-23;QUITADO
414;769;13133.29;564.79;24;3.21;2021-06-05;ATIVO
415;4141;1331.81;115.6;12;4.16;2021-04-20;ATIVO
