evento_id;cliente_id;emprestimo_id;tipo_evento;data_evento;valor_em_risco
42;9619;133;ATRASO_90;2024-03-14;883.99
43;9619;133;CALOTE;2024-04-13;589.33
44;2895;136;ATRASO_30;2023-12-04;7666.6
45;2895;136;ATRASO_90;2024-02-02;4599.96
46;2895;136;CALOTE;2024-03-03;3066.64
47;2289;151;ATRASO_30;2024-11-27;4666.6
48;2289;151;ATRASO_60;2024-12-27;3733.28
49;100;186;ATRASO_30;2023-11-06;9797.52
50;100;186;ATRASO_60;2023-12-06;7838.02
51;100;186;ATRASO_90;2024-01-05;5878.51
52;100;186;CALOTE;2024-02-04;3919.01
53;8157;192;ATRASO_30;2021-12-28;1807.48
54;8157;192;ATRASO_60;2022-01-27;1445.98
55;8157;192;ATRASO_90;2022-02-26;1084.49
56;6779;211;ATRASO_30;2023-10-06;1193.56
57;6779;211;ATRASO_60;2023-11-05;954.85
58;6779;211;ATRASO_90;2023-12-05;716.14
59;6779;211;CALOTE;2024-01-04;477.42
60;4260;230;ATRASO_30;2021-02-17;4436.12
61;4260;230;ATRASO_60;2021-03-19;3548.9
62;3748;241;ATRASO_30;2021-12-16;2445.18
63;3748;241;ATRASO_60;2022-01-15;1956.14
64;3748;241;ATRASO_90;2022-02-14;1467.11
65;9788;276;ATRASO_30;2024-06-27;7998.19
66;9788;276;ATRASO_60;2024-07-27;6398.55
67;9788;276;CALOTE;2024-09-25;3199.28
68;4131;285;ATRASO_30;2024-10-03;780.13
69;4131;285;ATRASO_60;2024-11-02;624.1
70;4131;285;ATRASO_90;2024-12-02;468.08
71;4131;285;CALOTE;2025-01-01;312.05
72;2381;299;ATRASO_30;2024-12-11;3776.7
73;1987;304;ATRASO_60;2023-10-01;7902.48
74;1987;304;ATRASO_90;2023-10-31;5926.86
75;1987;304;CALOTE;2023-11-30;3951.24
76;9598;305;ATRASO_30;2021-09-04;4554.13
77;9598;305;ATRASO_60;2021-10-04;3643.3
78;9598;305;CALOTE;2021-12-03;1821.65
79;2620;309;ATRASO_30;2024-04-15;14002.58
80;2620;309;CALOTE;2024-07-14;5601.03
81;2380;314;ATRASO_90;2024-04-24;3991.57
82;2380;314;CALOTE;2024-05-24;2661.04
83;936;315;ATRASO_30;2024-01-31;7206.23
84;936;315;ATRASO_90;2024-03-31;4323.74
85;7367;351;ATRASO_90;2024-11-01;9212.6
86;3739;352;ATRASO_30;2023-05-15;7989.34
87;3739;352;ATRASO_60;2023-06-14;6391.47
88;3739;352;ATRASO_90;2023-07-14;4793.6
89;3739;352;CALOTE;2023-08-13;3195.74
90;8615;361;ATRASO_30;2023-10-19;973.85
91;8615;361;ATRASO_60;2023-11-18;779.08
92;8615;361;CALOTE;2024-01-17;389.54
93;3731;380;ATRASO_30;2022-03-31;6284.69
94;3731;380;ATRASO_60;2022-04-30;5027.75
95;3731;380;ATRASO_90;2022-05-30;3770.81
96;3731;380;CALOTE;2022-06-29;2513.88
97;2828;387;ATRASO_30;2024-03-16;2554.79
98;2828;387;ATRASO_60;2024-04-15;2043.83
99;2828;387;CALOTE;2024-06-14;1021.92
100;6675;395;ATRASO_30;2023-03-22;3271.47
101;6675;395;ATRASO_90;2023-05-21;1962.88
102;752;404;ATRASO_30;2022-01-28;708.12
103;752;404;ATRASO_60;2022-02-27;566.5
104;752;404;ATRASO_90;2022-03-29;424.87
105;752;404;CALOTE;2022-04-28;283.25
106;2977;419;ATRASO_30;2022-01-11;3127.66
107;2977;419;ATRASO_90;2022-03-12;1876.6
108;2977;419;CALOTE;2022-04-11;1251.06
109;7708;424;CALOTE;2023-01-16;3033.72
110;8011;429;ATRASO_30;2023-08-12;12795.01
111;8011;429;ATRASO_60;2023-09-11;10236.01
112;8011;429;ATRASO_90;2023-10-11;7677.01
113;8011;429;CALOTE;2023-11-10;5118.0
114;4721;460;ATRASO_30;2024-03-16;1491.51
115;4721;460;ATRASO_60;2024-04-15;1193.21
116;4721;460;ATRASO_90;2024-05-15;894.91
117;4721;460;CALOTE;2024-06-14;596.6
118;1583;493;ATRASO_30;2021-11-15;2017.27
119;1583;493;ATRASO_90;2022-01-14;1210.36
120;1583;493;CALOTE;2022-02-13;806.91
121;320;496;ATRASO_30;2024-03-13;4549.52
122;320;496;ATRASO_60;2024-04-12;3639.62
123;320;496;ATRASO_90;2024-05-12;2729.71
124;9575;501;ATRASO_30;2021-03-19;4770.12
125;9575;501;ATRASO_60;2021-04-18;3816.1
126;9575;501;ATRASO_90;2021-05-18;2862.07
127;9575;501;CALOTE;2021-06-17;1908.05
128;4534;513;ATRASO_30;2021-11-09;5845.78
129;4534;513;ATRASO_60;2021-12-09;4676.62
130;4534;513;ATRASO_90;2022-01-08;3507.47
131;4534;513;CALOTE;2022-02-07;2338.31
132;3937;514;ATRASO_60;2024-07-19;10372.94
133;3937;514;ATRASO_90;2024-08-18;7779.71
134;3937;514;CALOTE;2024-09-17;5186.47
135;1418;519;ATRASO_30;2024-04-28;4293.48
136;1418;519;CALOTE;2024-07-27;1717.39
137;7364;523;ATRASO_30;2022-01-17;19062.14
138;7364;523;ATRASO_60;2022-02-16;15249.71
139;7364;523;ATRASO_90;2022-03-18;11437.28
140;7364;523;CALOTE;2022-04-17;7624.86
141;8546;528;ATRASO_30;2023-08-15;5666.35
142;8546;528;ATRASO_60;2023-09-14;4533.08
143;8546;528;ATRASO_90;2023-10-14;3399.81
144;8546;528;CALOTE;2023-11-13;2266.54
145;6099;541;ATRASO_30;2024-03-26;4805.02
146;6099;541;ATRASO_60;2024-04-25;3844.02
147;6099;541;ATRASO_90;2024-05-25;2883.01
148;6099;541;CALOTE;2024-06-24;1922.01
149;735;544;ATRASO_30;2023-01-06;4798.13
150;735;544;CALOTE;2023-04-06;1919.25
151;6559;553;ATRASO_30;2022-12-22;28580.81
152;2299;554;ATRASO_30;2021-06-03;1635.38
153;2299;554;ATRASO_60;2021-07-03;1308.3
154;2299;554;ATRASO_90;2021-08-02;981.23
155;7524;569;ATRASO_30;2023-12-06;7975.86
156;7524;569;ATRASO_60;2024-01-05;6380.69
157;7524;569;ATRASO_90;2024-02-04;4785.52
158;7524;569;CALOTE;2024-03-05;3190.34
159;3177;575;ATRASO_30;2021-07-19;5619.41
160;3177;575;ATRASO_60;2021-08-18;4495.53
161;3177;575;ATRASO_90;2021-09-17;3371.65
162;3177;575;CALOTE;2021-10-17;2247.76
163;4006;579;ATRASO_30;2022-02-09;1332.45
164;4006;579;ATRASO_60;2022-03-11;1065.96
165;4006;579;ATRASO_90;2022-04-10;799.47
166;4006;579;CALOTE;2022-05-10;532.98
167;1081;580;ATRASO_30;2024-12-06;3102.68
168;1081;580;ATRASO_90;2025-02-04;1861.61
169;1081;580;CALOTE;2025-03-06;1241.07
170;4895;592;ATRASO_60;2024-08-09;3656.57
171;4895;592;ATRASO_90;2024-09-08;2742.43
172;4895;592;CALOTE;2024-10-08;1828.28
173;2446;610;ATRASO_30;2024-05-07;4529.29
174;2446;610;ATRASO_60;2024-06-06;3623.43
175;7064;640;ATRASO_30;2022-05-30;1956.53
176;7064;640;ATRASO_90;2022-07-29;1173.92
177;7064;640;CALOTE;2022-08-28;782.61
178;4352;652;ATRASO_30;2024-04-27;995.29
179;4352;652;ATRASO_60;2024-05-27;796.23
180;4352;652;ATRASO_90;2024-06-26;597.17
181;4352;652;CALOTE;2024-07-26;398.12
182;1223;653;ATRASO_30;2024-11-09;1972.12
183;1223;653;ATRASO_90;2025-01-08;1183.27
184;1223;653;CALOTE;2025-02-07;788.85
185;2895;664;ATRASO_30;2024-12-01;2181.84
186;2895;664;ATRASO_60;2024-12-31;1745.47
187;2895;664;ATRASO_90;2025-01-30;1309.1
188;2895;664;CALOTE;2025-03-01;872.74
189;6650;700;ATRASO_60;2022-08-30;2834.01
190;6650;700;ATRASO_90;2022-09-29;2125.51
191;6650;700;CALOTE;2022-10-29;1417.0
192;6790;727;ATRASO_30;2024-02-29;1095.51
193;6790;727;ATRASO_60;2024-03-30;876.41
194;6790;727;ATRASO_90;2024-04-29;657.31
195;1042;732;ATRASO_60;2024-10-08;1074.57
196;1042;732;ATRASO_90;2024-11-07;805.93
197;2811;758;ATRASO_30;2023-01-26;6712.29
198;2811;758;ATRASO_60;2023-02-25;5369.83
199;2811;758;ATRASO_90;2023-03-27;4027.37
200;2811;758;CALOTE;2023-04-26;2684.92
201;9507;793;ATRASO_30;2023-01-01;4746.7
202;9507;793;ATRASO_60;2023-01-31;3797.36
203;9507;793;ATRASO_90;2023-03-02;2848.02
204;9507;793;CALOTE;2023-04-01;1898.68
205;3728;795;ATRASO_30;2022-04-09;5906.72
206;3728;795;ATRASO_90;2022-06-08;3544.03
207;3728;795;CALOTE;2022-07-08;2362.69
208;1502;798;ATRASO_30;2024-10-27;1765.45
209;1502;798;ATRASO_60;2024-11-26;1412.36
210;1502;798;CALOTE;2025-01-25;706.18
211;7370;848;ATRASO_30;2024-11-01;2138.95
212;7370;848;ATRASO_60;2024-12-01;1711.16
213;7370;848;ATRASO_90;2024-12-31;1283.37
214;8619;849;ATRASO_30;2024-05-08;5319.09
215;8619;849;ATRASO_60;2024-06-07;4255.27
216;8619;849;CALOTE;2024-08-06;2127.64
217;9624;851;ATRASO_90;2023-09-30;335.89
218;9624;851;CALOTE;2023-10-30;223.93
219;1997;855;ATRASO_30;2021-10-28;4044.63
220;1997;855;ATRASO_60;2021-11-27;3235.7
221;1997;855;ATRASO_90;2021-12-27;2426.78
222;1997;855;CALOTE;2022-01-26;1617.85
223;6371;861;ATRASO_30;2022-12-14;2030.3
224;6371;861;ATRASO_90;2023-02-12;1218.18
225;6371;861;CALOTE;2023-03-14;812.12
226;347;864;ATRASO_30;2024-03-13;6796.87
227;347;864;CALOTE;2024-06-11;2718.75
228;8516;885;ATRASO_60;2022-09-27;13189.02
229;8516;885;ATRASO_90;2022-10-27;9891.76
230;9527;905;ATRASO_60;2022-08-14;14155.85
231;9527;905;ATRASO_90;2022-09-13;10616.89
232;9527;905;CALOTE;2022-10-13;7077.92
233;2221;908;ATRASO_30;2021-09-04;6686.3
234;2221;908;ATRASO_60;2021-10-04;5349.04
235;2221;908;ATRASO_90;2021-11-03;4011.78
236;2221;908;CALOTE;2021-12-03;2674.52
237;4479;910;ATRASO_30;2022-05-11;3198.21
238;4479;910;ATRASO_60;2022-06-10;2558.57
239;4479;910;ATRASO_90;2022-07-10;1918.93
240;4479;910;CALOTE;2022-08-09;1279.28
241;4363;912;ATRASO_30;2021-06-11;3818.42
242;4363;912;ATRASO_90;2021-08-10;2291.05
243;4363;912;CALOTE;2021-09-09;1527.37
244;8509;923;ATRASO_60;2022-10-19;5577.72
245;8509;923;ATRASO_90;2022-11-18;4183.29
246;4263;933;CALOTE;2021-05-04;3074.34
247;2050;939;ATRASO_30;2023-01-16;15553.15
248;2050;939;ATRASO_90;2023-03-17;9331.89
249;2050;939;CALOTE;2023-04-16;6221.26
250;1145;954;ATRASO_30;2022-09-30;6700.01
251;1145;954;ATRASO_60;2022-10-30;5360.01
252;1145;954;ATRASO_90;2022-11-29;4020.01
253;1145;954;CALOTE;2022-12-29;2680.0
254;1242;970;ATRASO_30;2023-07-25;46200.48
255;1242;970;ATRASO_60;2023-08-24;36960.38
256;1242;970;CALOTE;2023-10-23;18480.19
257;960;979;ATRASO_30;2022-08-30;6468.78
258;960;979;ATRASO_60;2022-09-29;5175.02
259;960;979;ATRASO_90;2022-10-29;3881.27
260;960;979;CALOTE;2022-11-28;2587.51
261;3517;988;ATRASO_60;2022-01-26;6087.1
262;3517;988;ATRASO_90;2022-02-25;4565.32
263;3167;1002;ATRASO_30;2023-07-08;3911.57
264;3167;1002;ATRASO_60;2023-08-07;3129.26
265;3167;1002;CALOTE;2023-10-06;1564.63
266;7580;1015;ATRASO_30;2023-11-27;3573.14
267;7580;1015;ATRASO_60;2023-12-27;2858.51
268;7580;1015;CALOTE;2024-02-25;1429.26
269;413;1022;ATRASO_30;2023-08-06;1206.51
270;413;1022;ATRASO_90;2023-10-05;723.91
271;413;1022;CALOTE;2023-11-04;482.6
272;192;1026;ATRASO_30;2021-11-06;3832.53
273;192;1026;ATRASO_60;2021-12-06;3066.02
274;192;1026;ATRASO_90;2022-01-05;2299.52
275;192;1026;CALOTE;2022-02-04;1533.01
276;8013;1035;ATRASO_30;2021-09-18;6514.87
277;8013;1035;ATRASO_60;2021-10-18;5211.9
278;8013;1035;CALOTE;2021-12-17;2605.95
279;5918;1048;ATRASO_30;2023-10-16;6533.73
280;5918;1048;ATRASO_60;2023-11-15;5226.98
281;5918;1048;ATRASO_90;2023-12-15;3920.24
282;5918;1048;CALOTE;2024-01-14;2613.49
283;8204;1053;ATRASO_60;2023-02-06;1677.13
284;8204;1053;ATRASO_90;2023-03-08;1257.85
285;8204;1053;CALOTE;2023-04-07;838.56
286;599;1056;ATRASO_30;2023-04-04;1328.46
287;599;1056;ATRASO_60;2023-05-04;1062.77
288;599;1056;ATRASO_90;2023-06-03;797.08
289;1822;1068;ATRASO_30;2021-10-16;789.65
290;1822;1068;ATRASO_60;2021-11-15;631.72
291;1822;1068;ATRASO_90;2021-12-15;473.79
292;5893;1077;ATRASO_30;2024-01-30;6680.67
293;5893;1077;ATRASO_60;2024-02-29;5344.54
294;7166;1095;ATRASO_30;2023-07-17;15675.17
295;7166;1095;ATRASO_60;2023-08-16;12540.14
296;7166;1095;ATRASO_90;2023-09-15;9405.1
297;3417;1096;ATRASO_30;2022-09-28;5988.5
298;3417;1096;ATRASO_60;2022-10-28;4790.8
299;3417;1096;ATRASO_90;2022-11-27;3593.1
300;3417;1096;CALOTE;2022-12-27;2395.4
301;1141;1097;ATRASO_30;2021-10-01;6421.03
302;1141;1097;ATRASO_60;2021-10-31;5136.82
303;1141;1097;ATRASO_90;2021-11-30;3852.62
304;1141;1097;CALOTE;2021-12-30;2568.41
305;7546;1101;ATRASO_30;2022-04-21;1964.27
306;7546;1101;ATRASO_60;2022-05-21;1571.42
307;8411;1102;ATRASO_30;2024-12-10;7053.85
308;8411;1102;ATRASO_60;2025-01-09;5643.08
309;5302;1103;ATRASO_30;2024-06-14;6691.24
310;5302;1103;ATRASO_60;2024-07-14;5352.99
311;5302;1103;ATRASO_90;2024-08-13;4014.74
312;5302;1103;CALOTE;2024-09-12;2676.5
313;489;1106;ATRASO_30;2024-02-17;6458.03
314;489;1106;ATRASO_60;2024-03-18;5166.42
315;489;1106;ATRASO_90;2024-04-17;3874.82
316;489;1106;CALOTE;2024-05-17;2583.21
317;4108;1113;ATRASO_30;2022-08-25;4087.75
318;4108;1113;ATRASO_60;2022-09-24;3270.2
319;4108;1113;ATRASO_90;2022-10-24;2452.65
320;4108;1113;CALOTE;2022-11-23;1635.1
321;4874;1116;ATRASO_30;2022-10-28;12188.16
322;4874;1116;ATRASO_60;2022-11-27;9750.53
323;4874;1116;ATRASO_90;2022-12-27;7312.9
324;6166;1122;ATRASO_60;2024-02-23;1767.25
325;6166;1122;ATRASO_90;2024-03-24;1325.44
326;6166;1122;CALOTE;2024-04-23;883.62
327;5426;1132;ATRASO_30;2024-05-10;1035.93
328;5426;1132;ATRASO_60;2024-06-09;828.74
329;1363;1147;ATRASO_30;2023-07-31;12511.58
330;1363;1147;ATRASO_60;2023-08-30;10009.26
331;1363;1147;ATRASO_90;2023-09-29;7506.95
332;7925;1163;ATRASO_60;2025-01-27;6508.44
333;7925;1163;ATRASO_90;2025-02-26;4881.33
334;7925;1163;CALOTE;2025-03-28;3254.22
335;9317;1168;ATRASO_30;2024-08-06;2146.72
336;9317;1168;ATRASO_60;2024-09-05;1717.38
337;9317;1168;ATRASO_90;2024-10-05;1288.03
338;7159;1170;ATRASO_30;2024-10-25;19156.9
339;7159;1170;ATRASO_90;2024-12-24;11494.14
340;7159;1170;CALOTE;2025-01-23;7662.76
341;5098;1174;ATRASO_30;2024-07-10;3446.66
342;5098;1174;ATRASO_60;2024-08-09;2757.33
343;5098;1174;ATRASO_90;2024-09-08;2068.0
344;4608;1178;ATRASO_30;2022-09-27;3073.37
345;4608;1178;ATRASO_60;2022-10-27;2458.7
346;4608;1178;ATRASO_90;2022-11-26;1844.02
347;4608;1178;CALOTE;2022-12-26;1229.35
348;6841;1185;ATRASO_60;2021-03-04;4415.67
349;6841;1185;ATRASO_90;2021-04-03;3311.75
350;6841;1185;CALOTE;2021-05-03;2207.84
351;521;1198;ATRASO_30;2021-10-10;25415.35
352;521;1198;ATRASO_90;2021-12-09;15249.21
353;2159;1201;ATRASO_30;2021-04-12;6181.69
354;2159;1201;CALOTE;2021-07-11;2472.68
355;5680;1216;ATRASO_30;2024-04-02;5781.16
356;5680;1216;ATRASO_90;2024-06-01;3468.7
357;5680;1216;CALOTE;2024-07-01;2312.46
358;9334;1226;ATRASO_30;2021-09-08;1792.94
359;9334;1226;ATRASO_60;2021-10-08;1434.35
360;9334;1226;ATRASO_90;2021-11-07;1075.76
361;9334;1226;CALOTE;2021-12-07;717.18
362;4910;1241;ATRASO_30;2023-12-10;3355.06
363;4910;1241;ATRASO_90;2024-02-08;2013.04
364;436;1248;ATRASO_30;2022-05-07;7874.38
365;436;1248;ATRASO_90;2022-07-06;4724.63
366;7748;1255;ATRASO_30;2023-06-11;2061.83
367;7748;1255;ATRASO_60;2023-07-11;1649.46
368;7748;1255;ATRASO_90;2023-08-10;1237.1
369;3454;1256;ATRASO_30;2022-05-06;3148.42
370;3454;1256;ATRASO_60;2022-06-05;2518.74
371;3454;1256;ATRASO_90;2022-07-05;1889.05
372;127;1267;ATRASO_90;2021-07-30;8775.14
373;127;1267;CALOTE;2021-08-29;5850.09
374;7837;1269;ATRASO_30;2022-05-18;677.27
375;7837;1269;ATRASO_90;2022-07-17;406.36
376;7837;1269;CALOTE;2022-08-16;270.91
377;9185;1281;ATRASO_30;2021-11-30;5951.4
378;9185;1281;ATRASO_60;2021-12-30;4761.12
379;9185;1281;ATRASO_90;2022-01-29;3570.84
380;9185;1281;CALOTE;2022-02-28;2380.56
381;7505;1300;ATRASO_30;2022-11-13;1220.91
382;7505;1300;ATRASO_60;2022-12-13;976.73
383;7505;1300;ATRASO_90;2023-01-12;732.55
384;9814;1301;ATRASO_60;2023-03-28;4024.78
385;9814;1301;CALOTE;2023-05-27;2012.39
386;5188;1338;ATRASO_60;2024-09-03;904.02
387;5188;1338;ATRASO_90;2024-10-03;678.02
388;2855;1345;ATRASO_90;2025-03-02;2043.42
389;2855;1345;CALOTE;2025-04-01;1362.28
390;7592;1353;ATRASO_60;2021-12-25;3793.75
391;7592;1353;ATRASO_90;2022-01-24;2845.31
392;7592;1353;CALOTE;2022-02-23;1896.88
393;1453;1356;ATRASO_30;2021-07-27;7606.06
394;1453;1356;ATRASO_60;2021-08-26;6084.85
395;1453;1356;ATRASO_90;2021-09-25;4563.64
396;1453;1356;CALOTE;2021-10-25;3042.42
397;6056;1357;ATRASO_30;2024-06-22;13106.77
398;6056;1357;ATRASO_60;2024-07-22;10485.42
399;6056;1357;ATRASO_90;2024-08-21;7864.06
400;6056;1357;CALOTE;2024-09-20;5242.71
401;8934;1365;CALOTE;2022-05-02;1062.5
402;64;1381;ATRASO_90;2021-10-20;3675.95
403;64;1381;CALOTE;2021-11-19;2450.64
404;5854;1387;ATRASO_30;2021-02-19;4429.13
405;5854;1387;ATRASO_60;2021-03-21;3543.3
406;5700;1400;ATRASO_30;2024-11-10;6449.12
407;5700;1400;ATRASO_90;2025-01-09;3869.47
408;5700;1400;CALOTE;2025-02-08;2579.65
409;7866;1415;ATRASO_30;2024-01-06;7662.43
410;7866;1415;ATRASO_60;2024-02-05;6129.94
411;7866;1415;ATRASO_90;2024-03-06;4597.46
412;7866;1415;CALOTE;2024-04-05;3064.97
413;3048;1418;ATRASO_30;2021-11-07;17448.35
414;3048;1418;ATRASO_60;2021-12-07;13958.68
415;3048;1418;ATRASO_90;2022-01-06;10469.01
416;3048;1418;CALOTE;2022-02-05;6979.34
417;9738;1421;ATRASO_30;2022-11-09;6571.17
418;9738;1421;ATRASO_60;2022-12-09;5256.94
419;9738;1421;ATRASO_90;2023-01-08;3942.7
420;9738;1421;CALOTE;2023-02-07;2628.47
421;4581;1439;ATRASO_60;2023-03-29;2156.31
422;4581;1439;ATRASO_90;2023-04-28;1617.23
423;4581;1439;CALOTE;2023-05-28;1078.16
424;8238;1440;ATRASO_30;2023-09-17;3671.39
425;8238;1440;ATRASO_90;2023-11-16;2202.83
426;8238;1440;CALOTE;2023-12-16;1468.56
427;1095;1444;ATRASO_60;2023-11-12;6369.45
428;1095;1444;ATRASO_90;2023-12-12;4777.09
429;1678;1450;ATRASO_60;2025-01-03;2393.98
430;1678;1450;CALOTE;2025-03-04;1196.99
431;8205;1451;ATRASO_30;2022-02-15;19644.04
432;8205;1451;ATRASO_60;2022-03-17;15715.23
433;8205;1451;ATRASO_90;2022-04-16;11786.42
434;8205;1451;CALOTE;2022-05-16;7857.62
435;1387;1465;ATRASO_30;2022-12-02;3635.9
436;1387;1465;ATRASO_60;2023-01-01;2908.72
437;1387;1465;ATRASO_90;2023-01-31;2181.54
438;1387;1465;CALOTE;2023-03-02;1454.36
439;458;1485;ATRASO_30;2022-02-12;19606.67
440;458;1485;ATRASO_90;2022-04-13;11764.0
441;458;1485;CALOTE;2022-05-13;7842.67
442;5889;1486;ATRASO_60;2021-07-04;2011.82
443;5889;1486;ATRASO_90;2021-08-03;1508.87
444;5889;1486;CALOTE;2021-09-02;1005.91
445;4770;1494;ATRASO_60;2022-01-23;5578.15
446;4770;1494;ATRASO_90;2022-02-22;4183.61
447;4770;1494;CALOTE;2022-03-24;2789.08
448;7950;1499;ATRASO_30;2025-01-01;4625.31
449;7950;1499;ATRASO_60;2025-01-31;3700.25
450;7950;1499;CALOTE;2025-04-01;1850.12
451;8314;1502;ATRASO_30;2021-09-29;1152.55
452;8314;1502;ATRASO_90;2021-11-28;691.53
453;8314;1502;CALOTE;2021-12-28;461.02
454;3861;1508;ATRASO_30;2024-07-30;4910.84
455;3861;1508;ATRASO_60;2024-08-29;3928.67
456;3861;1508;ATRASO_90;2024-09-28;2946.5
457;3861;1508;CALOTE;2024-10-28;1964.34
458;6384;1563;ATRASO_30;2024-05-21;17731.92
459;6384;1563;CALOTE;2024-08-19;7092.77
460;8432;1570;ATRASO_60;2025-02-24;5673.71
461;8432;1570;ATRASO_90;2025-03-26;4255.28
462;8432;1570;CALOTE;2025-04-25;2836.86
463;3426;1573;ATRASO_30;2022-10-17;6341.89
464;3426;1573;ATRASO_90;2022-12-16;3805.13
465;3426;1573;CALOTE;2023-01-15;2536.76
466;8910;1574;ATRASO_30;2022-11-15;17383.01
467;8910;1574;ATRASO_90;2023-01-14;10429.81
468;8910;1574;CALOTE;2023-02-13;6953.2
469;843;1577;ATRASO_30;2023-01-23;1297.17
470;843;1577;ATRASO_60;2023-02-22;1037.74
471;843;1577;CALOTE;2023-04-23;518.87
472;6107;1586;ATRASO_30;2023-01-02;3488.76
473;6107;1586;ATRASO_60;2023-02-01;2791.01
474;6107;1586;CALOTE;2023-04-02;1395.5
475;2051;1589;ATRASO_30;2024-07-12;640.72
476;2051;1589;ATRASO_60;2024-08-11;512.58
477;2051;1589;ATRASO_90;2024-09-10;384.43
478;2051;1589;CALOTE;2024-10-10;256.29
479;8196;1596;ATRASO_30;2021-09-15;3499.81
480;8196;1596;ATRASO_60;2021-10-15;2799.85
481;8196;1596;ATRASO_90;2021-11-14;2099.89
482;8196;1596;CALOTE;2021-12-14;1399.92
483;9094;1602;ATRASO_30;2021-09-15;17290.4
484;9094;1602;ATRASO_60;2021-10-15;13832.32
485;9094;1602;ATRASO_90;2021-11-14;10374.24
486;9094;1602;CALOTE;2021-12-14;6916.16
487;9438;1610;ATRASO_30;2023-06-14;8984.24
488;9438;1610;ATRASO_90;2023-08-13;5390.54
489;9438;1610;CALOTE;2023-09-12;3593.7
490;8681;1627;ATRASO_30;2024-06-03;7844.4
491;8681;1627;ATRASO_60;2024-07-03;6275.52
492;8681;1627;ATRASO_90;2024-08-02;4706.64
493;8681;1627;CALOTE;2024-09-01;3137.76
494;6979;1631;ATRASO_30;2024-05-06;5025.54
495;6979;1631;ATRASO_60;2024-06-05;4020.43
496;6979;1631;ATRASO_90;2024-07-05;3015.32
497;6979;1631;CALOTE;2024-08-04;2010.22
498;5782;1632;ATRASO_30;2022-07-21;4077.17
499;5782;1632;ATRASO_90;2022-09-19;2446.3
500;201;1633;ATRASO_30;2024-09-18;874.33
501;549;1664;ATRASO_30;2023-06-15;5984.87
502;549;1664;ATRASO_60;2023-07-15;4787.9
503;7105;1665;ATRASO_30;2023-05-03;6236.32
504;7105;1665;ATRASO_60;2023-06-02;4989.06
505;7105;1665;ATRASO_90;2023-07-02;3741.79
506;7105;1665;CALOTE;2023-08-01;2494.53
507;5645;1684;ATRASO_30;2024-01-22;3258.98
508;5645;1684;CALOTE;2024-04-21;1303.59
509;7385;1706;ATRASO_30;2022-08-18;5351.34
510;7385;1706;CALOTE;2022-11-16;2140.54
511;8749;1707;ATRASO_60;2023-07-16;2913.69
512;8749;1707;ATRASO_90;2023-08-15;2185.27
513;8749;1707;CALOTE;2023-09-14;1456.84
514;53;1710;ATRASO_30;2021-03-03;8716.75
515;53;1710;ATRASO_60;2021-04-02;6973.4
516;53;1710;ATRASO_90;2021-05-02;5230.05
517;53;1710;CALOTE;2021-06-01;3486.7
518;5;1733;ATRASO_30;2021-12-08;5842.25
519;5;1733;ATRASO_60;2022-01-07;4673.8
520;5;1733;ATRASO_90;2022-02-06;3505.35
